brewery,beer_name,style,abv_percent,ibu,global_rating,checkin_date,location,your_rating,your_notes,beer_url,checkin_url
Geiranger Bryggeri,Helvetesgjølet Quadrupel,Belgian Quadrupel,10,24,3.64519,2024-01-13T17:35:44+00:00,Untappd at Home,3.75,,https://untappd.com/b/geiranger-bryggeri-helvetesjolet-quadrupel/1705974,https://untappd.com/user/Semelenge/checkin/1348395582
Brouwerij Het Anker,Gouden Carolus Cuvée van de Keizer Imperial Dark,Belgian Strong Dark Ale,11,15,4.05257,2024-01-13T06:32:26+00:00,Untappd at Home,4.25,,https://untappd.com/b/brouwerij-het-anker-gouden-carolus-cuvee-van-de-keizer-imperial-dark/37945,https://untappd.com/user/Semelenge/checkin/1348289200
Sagene Bryggeri,Tannjul,Stout - Imperial / Double Milk,8,,3.52928,2023-12-20T19:08:19+00:00,Untappd at Home,2.75,,https://untappd.com/b/sagene-bryggeri-tannjul/2325051,https://untappd.com/user/Semelenge/checkin/1340942703
Nøisom Craft Beer,Julestout,Stout - American,8.2,,3.56585,2023-12-20T19:07:21+00:00,Untappd at Home,3.5,,https://untappd.com/b/noisom-craft-beer-julestout/5104304,https://untappd.com/user/Semelenge/checkin/1340942369
E.C. Dahls Bryggeri,Brown Ale,Brown Ale - English,5.9,,3.4412,2023-09-15T16:51:11+00:00,,3.75,,https://untappd.com/b/e-c-dahls-bryggeri-brown-ale/4707415,https://untappd.com/user/Semelenge/checkin/1313946057
Fjordfolk Mikrobryggeri,St. Stephen's,Stout - Irish Dry,4.7,35,3.00106,2023-09-15T16:50:30+00:00,Untappd at Home,3,,https://untappd.com/b/fjordfolk-mikrobryggeri-st-stephen-s/4981033,https://untappd.com/user/Semelenge/checkin/1313945681
Fjordfolk Mikrobryggeri,Feliz Navidad,Altbier - Traditional,4.7,40,3.04498,2023-09-14T19:36:26+00:00,,3.75,,https://untappd.com/b/fjordfolk-mikrobryggeri-feliz-navidad/4566719,https://untappd.com/user/Semelenge/checkin/1313722742
Fjordfolk Mikrobryggeri,BBQ-ØL,Brown Ale - English,4.7,18,3.16681,2023-09-14T17:57:19+00:00,,3.25,,https://untappd.com/b/fjordfolk-mikrobryggeri-bbq-ol/3141224,https://untappd.com/user/Semelenge/checkin/1313688687
BOXCAR,Xmas Mild,Mild - Dark,6.3,,3.57995,2023-02-25T18:54:26+00:00,Untappd at Home,3.75,,https://untappd.com/b/boxcar-x-mas-mild/5093082,https://untappd.com/user/Semelenge/checkin/1251068026
Krecher,Slushcrusher (2022),Stout - Imperial / Double Coffee,11,,4.03558,2022-12-04T19:41:58+00:00,Untappd at Home,4,,https://untappd.com/b/krecher-slushcrusher-2022/5092191,https://untappd.com/user/Semelenge/checkin/1226928829
Brouwerij Slaghmuylder,Witkap Pater Stimulo,Belgian Blonde,6,25,3.4121,2022-10-15T19:20:50+00:00,Untappd at Home,3.5,,https://untappd.com/b/brouwerij-slaghmuylder-witkap-pater-stimulo/2320,https://untappd.com/user/Semelenge/checkin/1211760384
BOXCAR,Triple Dark Mild,Mild - Dark,9,,3.96852,2022-10-15T19:19:36+00:00,Untappd at Home,4.25,,https://untappd.com/b/boxcar-triple-dark-mild/4739125,https://untappd.com/user/Semelenge/checkin/1211759142
Frydenlund Bryggerier,Bokkøl,Bock - Single / Traditional,6.5,18,3.40968,2022-10-07T17:38:40+00:00,Untappd at Home,3.25,,https://untappd.com/b/frydenlund-bryggerier-bokkol/20940,https://untappd.com/user/Semelenge/checkin/1208844986
Nøgne Ø,Old Salt Tavern,Bitter - Extra Special / Strong (ESB),6,30,3.49737,2022-10-07T17:37:59+00:00,Untappd at Home,3.5,,https://untappd.com/b/nogne-o-old-salt-tavern/4018635,https://untappd.com/user/Semelenge/checkin/1208844574
